max_flux,min_flux,std_flux,num_quedas,profundidade_media,duracao_media,intervalo_amostragem,label
1.0091796,0.6592884,0.008095477,2,0.33911845,13.854077694215903,0.007269118041099118,0
1.0045143,0.5459192,0.009573957,3,0.28712904,7.031162988037977,0.007204081585893259,0
1.1181502,0.5843334,0.03742252,2,0.3811912,12.916855145004774,0.007234152525308951,0
1.0081626,0.5242972,0.01029238,2,0.42022538,13.77085576935906,0.007345171961332853,0
1.0199957,0.9798549,0.0048656,38,0.016003828,0.4073478211953935,0.0023717324208272694,0
,,,0,0.0,0.0,0.0023783249609964337,0
1.008185,0.9891417,0.0022335416,30,0.0077681006,0.5492407833070627,0.002401221900450364,0
1.0286529,0.9863213,0.006474857,0,0.0,0.0,0.0023698643816208276,0
209.5975210798639,-175.91171531342957,49.74604842267667,—,0.0,0.0,0.021622910896586554,0
77797291004160.0,-149684533277156.03,27696785695808.906,——,0.0,0.0,0.021622910896586554,0
1417.3930753034858,-751.0311944018466,163.89494732720573,—,0.0,0.0,0.021738764709235484,0
99530941782969.02,-97199773141586.0,43956480919024.805,—,0.0,0.0,0.021738764709235484,0
1.000646613279192,0.9994748361061484,0.00018200813529179537,0,0.0,0.0,0.021866748487785196,0
1993.0032609434197,-1969.6262814709319,415.0694672376095,—,0.0,0.0,0.021651029109357227,0
inf,-inf,nan,—,0.0,0.0,0.021651029109357227,0
1.0006184094038642,0.9992030980248365,0.0002952738224533917,0,0.0,0.0,0.021688846846448673,0
1.001305308597564,0.997632317833767,0.0005492981024449341,15,0.0018823104367068947,0.01438482418390257,0.007267218480426039,0
1.0008393712484085,0.999299892378585,0.00022888502965320338,1,0.0007001076214150359,0.0,0.007198027345093425,0
1.0009011917124442,0.9990846088383052,0.0004214122890464875,0,0.0,0.0,0.007202239095206207,0
1.0007057575854788,0.9991630922749737,0.00023619583610551222,3,0.000772747944528196,0.4270849183667451,0.007294189945846987,0
1.0016702430840327,0.9954077677538227,0.0014377788861210748,5,0.00442951461837191,3.2986653699772432,0.007227954945180635,0
1.0212735,0.9903631,0.0015553797, ———,0.0,0.0,0.0007358659076554203,0
1.2127329,0.9909836,0.001940943, ———,0.0,0.0,0.0006912885695167211,0
1.0757184,0.98836076,0.0016904991, ———,0.0,0.0,0.0007078746952253588,0
1.113645,0.98965573,0.001780305, ———,0.0,0.0,0.0007040606661858475,0
1.0101682,0.9905828,0.0015570534, ———,0.0,0.0,0.0006829474634523182,0
1.0146936,0.9905657,0.0015601488, ———,0.0,0.0,0.0006832217290710816,0
1.0045687,0.9919539,0.0014318662,———,0.0,0.0,0.021568185689141768,0
1.0102098,0.99226964,0.0014445224,———,0.0,0.0,0.021772945251502543,0
1.0012535,0.99248713,0.00140388,——,0.0,0.0,0.020597934762598014,0
1.0023527,0.9930862,0.0013944738,——,0.0,0.0,0.020564386206680895,0
1.0589063,0.99053,0.0016339124, ———,0.0,0.0,0.0006830912207872347,0
1.0512062,0.9904355,0.0016687239, ———,0.0,0.0,0.0006833018859596942,0
1.0880286,0.9908544,0.001679475, ———,0.0,0.0,0.0006831710325539196,0
1.0142376,0.99096,0.001601251,2329,0.0066655423,0.01378915715143528,0.0006831581370211359,0
1.0425841,0.9906367,0.0016335929,1838,0.0067171976,0.013607963786565215,0.0006832026738569856,0
1.0106636,0.98944396,0.0015791286,1883,0.006746735,0.013285298353987176,0.0006840841504434586,0
1.0312078,0.9902847,0.0016529738, ———,0.0,0.0,0.0006834783161025641,0
1.1087611,0.99025863,0.0016680309,1838,0.0067475466,0.013610300496451582,0.0006833227733126691,0
1.0268995,0.99080354,0.0016185984, ———,0.0,0.0,0.0006965974961606074,0
1.0208045,0.9908219,0.0016124682, ———,0.0,0.0,0.0006830610310317938,0
1.0205225,0.9907185,0.0015988402, ———,0.0,0.0,0.0007916053950950513,0
1.0688154,0.99090964,0.0015977984, ———,0.0,0.0,0.0006831290915510041,0
1.0039427,0.9925212,0.0014029698,———,0.0,0.0,0.021012134371798184,0
1.0051647,0.9923869,0.001442586,———,0.0,0.0,0.02113834937804696,0
1.0026159,0.99216217,0.0014661569,———,0.0,0.0,0.021828756441017342,0
1.0039532,0.99229145,0.0014532958,———,0.0,0.0,0.021080523837295598,0
1.1905118,0.99096173,0.0021774918,———,0.0,0.0,0.0006833106642361829,0
1.0219792,0.99030375,0.001586188, ———,0.0,0.0,0.0007528776178469953,0
1.00819,0.99067605,0.0016409458, ———,0.0,0.0,0.0006833977707078177,0
1.0551864,0.99076456,0.0015993859, ———,0.0,0.0,0.0006829816227362163,0
1.0181009,0.989714,0.0015826214,1917,0.0067474754,0.014854575491397229,0.000693087139020172,0
1.0294305,0.9910677,0.0016107776, ———,0.0,0.0,0.0006829402684586321,0
1.0492425,0.9906083,0.0016556918,2078,0.006757429,0.01374679095483173,0.0006848894026751206,0
1.1109768,0.9907157,0.0017150945, ———,0.0,0.0,0.0006986514019190126,0
1.0496851,0.9906872,0.0016729514, ———,0.0,0.0,0.0006848347254629346,0
1.0229754,0.9905511,0.0015910864, ———,0.0,0.0,0.0006834031970867344,0
1.0549314,0.98866713,0.0016230749, ———,0.0,0.0,0.0006876691299139408,0
1.0025884,0.99242866,0.0014386764,———,0.0,0.0,0.02109828066578423,0
1.0080202,0.99253434,0.0014297619,———,0.0,0.0,0.02152337565849757,0
1.0046141,0.9923523,0.0014558927,———,0.0,0.0,0.021012911691593566,0
1.1195868,0.99064213,0.0016550077, ———,0.0,0.0,0.0007390052632195531,0
1.0147641,0.98965967,0.0016419681, ———,0.0,0.0,0.0007785912209433978,0
1.0382174,0.988422,0.0016676482,1847,0.0067520803,0.013544041415982365,0.0006842820752035597,0
1.085744,0.9863931,0.0017254842, ———,0.0,0.0,0.0008236352073603449,0
1.0051988,0.99225926,0.0014029179,———,0.0,0.0,0.02168273354487646,0
1.0040723,0.99237794,0.0014546608,———,0.0,0.0,0.02327107880082314,0
1.0028471,0.9923707,0.0014327896,———,0.0,0.0,0.02124677935314223,0
1.0024211,0.9922932,0.0014061844,———,0.0,0.0,0.022377022480889776,0
1.002311,0.9922664,0.0013916546,———,0.0,0.0,0.021968105067885615,0
1.0007453,0.99255687,0.0014290144,———,0.0,0.0,0.02425570241771649,0
1.0010667,0.99254465,0.0014885721,——,0.0,0.0,0.02472788005920511,0
1.0189062558071547,0.9783824040873191,0.002144118814910585,2024,0.007951307431326073,0.7244781999060634,0.022526155298230724,0
1.0271256,0.97122467,0.006203595,37,0.020771533,0.6793622044592413,0.0014512844258056444,0
1.0324923,0.9697918,0.007314425,31,0.024185892,0.7749653916648943,0.001465584161499081,0
1.0304745,0.971173,0.0062267394,34,0.021159431,0.7656518364754061,0.0014386073465953325,0
1.0654477,0.9312813,0.015546328,———,0.0,0.0,0.00023682011075244113,0
1.0704513,0.93363285,0.014993771,———,0.0,0.0,0.00024065855185979746,0
1.0868964,0.9340713,0.014385987,———,0.0,0.0,0.0002369838101490242,0
1.0626061,0.9418656,0.014052931,156,0.045516614,0.16540164456553963,0.00023741832732833982,0
1.0262336,0.9727245,0.0065049864,——,0.0,0.0,0.0014462430515383565,0
1.0264087,0.97561115,0.006137439,38,0.02074548,0.600451047118084,0.001422342671135017,0
1.0241395,0.97020775,0.0067350515,——,0.0,0.0,0.001421389628194418,0
1.0232902,0.9770094,0.0059998375,29,0.019850556,0.8882849699003665,0.0014254027226541946,0
1.0115196,0.9867819,0.0032678852,25,0.010816026,0.8923638273305983,0.007267290651525534,0
1.0138546,0.9853396,0.0039521945,8,0.013407886,3.321478668885707,0.007343325108600455,0
1.0109572,0.9844384,0.003280438,28,0.011731848,0.8737097757545969,0.007202287297698408,0
1.014837,0.9820569,0.0046726135,3,0.015898248,3.3438306943010048,0.021693417990986657,0
1.0127463,0.9868949,0.0035086665,3,0.011543393,7.958586605646246,0.02186779185721298,0
1.5626944,0.98305875,0.012395323,0,0.0,0.0,0.007269189626736705,0
2.6923308,0.42238554,0.030591628,1,0.5776144,0.0,0.007345270381454418,0
1.756203,0.88280135,0.014516679,1,0.117198646,0.0,0.007204129337517575,0
,,,0,0.0,0.0,0.0023704956783879936,0
1.0422387,0.9633409,0.009507897,30,0.031085772,0.6530824867078739,0.0023698295217502415,0
1.0266029,0.9748259,0.0070647253,11,0.022647744,1.6185042977092052,0.0024012344144661367,0
1.0402167,0.96630514,0.008821241,6,0.029349804,2.790318600206774,0.0024064949882413307,0
57.12791498141316,-104.36900097311857,21.890891997846918,——,0.0,0.0,0.02162315549982351,0
nan,nan,nan,—,0.0,0.0,0.02162315549982351,0
68.44670588742116,-55.31999741326196,17.20824680174902,—,0.0,0.0,0.021738848759540446,0
inf,-inf,nan,—,0.0,0.0,0.021738848759540446,0
1.001205545975456,0.9990465438180005,0.00039868382717806735,0,0.0,0.0,0.021866834055494496,0
1.001477737428487,0.999136488705194,0.000340982223165125,0,0.0,0.0,0.021693135570647334,0
1.001307846734875,0.998699063948004,0.0003589059588559669,4,0.0012061301212479558,0.22916966024786234,0.0072672905221872796,0
1.0014636512303685,0.9989672888972827,0.00033254507398105274,2,0.0010267019774313768,15.465139353647828,0.0072022871145193,0
1.001389702331412,0.9981787450037503,0.0004075012223422479,3,0.0014801799734447767,0.7639052933081985,0.007294287909502262,0
1.0357711,0.9875501,0.0020142011, ———,0.0,0.0,0.0006832264172487089,0
1.0217545,0.988043,0.0020175804, ———,0.0,0.0,0.0007358628660528566,0
1.0264482,0.98776394,0.001994156, ———,0.0,0.0,0.0006912878570856648,0
1.2777559,0.9873927,0.0025356575, ———,0.0,0.0,0.0007078763547375573,0
1.0842669,0.98769706,0.0021151921, ———,0.0,0.0,0.0007040644395025988,0
1.0280718,0.9871625,0.0019705992, ———,0.0,0.0,0.0006829523038721701,0
1.0028485,0.9890897,0.0019189868,———,0.0,0.0,0.021772922523425508,0
1.0044119,0.9890738,0.0018994281,———,0.0,0.0,0.021568324466387158,0
1.0016944,0.99033827,0.00177763,——,0.0,0.0,0.02056424387464469,0
1.0014421,0.98919415,0.001832485,——,0.0,0.0,0.020597801417264586,0
1.0217409,0.9878032,0.0019222471, ———,0.0,0.0,0.000683304983731785,0
1.0305201,0.9873802,0.0019893034, ———,0.0,0.0,0.0006830592787899205,0
1.0346264,0.98806065,0.0020066514, ———,0.0,0.0,0.0006830874771551608,0
1.015817,0.98801655,0.002026227, ———,0.0,0.0,0.00068316638030457,0
1.0637237,0.987491,0.0019914608,1867,0.009538504,0.015668871789813313,0.0006831537928812092,0
1.0152552,0.98729837,0.0019767107,1500,0.009609056,0.01519085675767622,0.0006831996979912394,0
1.021491,0.9876643,0.0020498913, ———,0.0,0.0,0.0006831281406938273,0
1.0058335,0.98743874,0.0019906017,1708,0.00960151,0.017075309548736203,0.0006840856213296307,0
1.0144246,0.98728967,0.0020091692, ———,0.0,0.0,0.000791606149939273,0
1.0007927,0.9890126,0.001885804,———,0.0,0.0,0.021012111340027523,0
1.0013782,0.98922837,0.0018638504,———,0.0,0.0,0.021080393063228658,0
1.0017705,0.98924,0.0018472825,———,0.0,0.0,0.021828779919774024,0
1.0909781,0.9876492,0.0020487306, ———,0.0,0.0,0.0006833985697193349,0
1.0080401,0.985858,0.0020721264, ———,0.0,0.0,0.0006848862532961339,0
1.0812525,0.9874412,0.002102811, ———,0.0,0.0,0.0006986503321943429,0
1.0122218,0.9878444,0.001971616, ———,0.0,0.0,0.0006848361141257594,0
1.0754157,0.98757887,0.0020108335, ———,0.0,0.0,0.0006829781102573404,0
1.0210613,0.9876478,0.0020278578, ———,0.0,0.0,0.0006829358436954106,0
1.0038143,0.9892278,0.0018944795,———,0.0,0.0,0.021098152653106016,0
1.0046741,0.98936045,0.0018565538,———,0.0,0.0,0.021523399672487054,0
1.0030999,0.98912215,0.0019193074,———,0.0,0.0,0.021012882927739836,0
1.0191629,0.98414373,0.002011501, ———,0.0,0.0,0.0008236333906085424,0
1.0206084,0.9843638,0.002045776,1673,0.009492331,0.015551162437029569,0.0006842829203334331,0
1.0200247,0.9876846,0.0019723661, ———,0.0,0.0,0.0007785946756228827,0
